Date,Clicks,Impressions,CTR,Position
2025-03-02,681,10065,6.77%,13.1
2025-03-03,567,9204,6.16%,13
2025-03-04,549,9343,5.88%,12.9
2025-03-05,501,8967,5.59%,13.3
2025-03-06,577,9237,6.25%,13
2025-03-07,626,9813,6.38%,12.5
2025-03-08,725,10093,7.18%,12.2
2025-03-09,641,9409,6.81%,12.4
2025-03-10,592,9705,6.1%,12.7
2025-03-11,657,9057,7.25%,13.6
2025-03-12,590,9939,5.94%,13.4
2025-03-13,574,9185,6.25%,13.3
2025-03-14,619,9538,6.49%,13.1
2025-03-15,707,9781,7.23%,13.4
2025-03-16,613,9244,6.63%,14.2
2025-03-17,591,8852,6.68%,13.8
2025-03-18,540,9247,5.84%,13.7
2025-03-19,592,9434,6.28%,13.1
2025-03-20,577,11862,4.86%,14.3
2025-03-21,747,10494,7.12%,12.1
2025-03-22,840,10881,7.72%,13.2
2025-03-23,664,9876,6.72%,13.5
2025-03-24,618,9581,6.45%,13.3
2025-03-25,599,9838,6.09%,12.8
2025-03-26,653,9548,6.84%,13.1
2025-03-27,598,9543,6.27%,12.9
2025-03-28,700,10415,6.72%,12.5
2025-03-29,792,10927,7.25%,12.3
2025-03-30,747,10749,6.95%,12.5
2025-03-31,662,10554,6.27%,13
2025-04-01,688,11001,6.25%,12.9
2025-04-02,599,9708,6.17%,12.5
2025-04-03,607,10447,5.81%,12.7
2025-04-04,741,10942,6.77%,12.3
2025-04-05,728,10219,7.12%,13.4
2025-04-06,574,9599,5.98%,13.6
2025-04-07,561,9296,6.03%,13.9
2025-04-08,539,8684,6.21%,14.4
2025-04-09,490,8504,5.76%,14.4
2025-04-10,508,8952,5.67%,14.6
2025-04-11,649,9378,6.92%,13.6
2025-04-12,721,10106,7.13%,13.9
2025-04-13,582,9282,6.27%,14.4
2025-04-14,563,9530,5.91%,14.7
2025-04-15,564,9407,6%,14.2
2025-04-16,576,8434,6.83%,13.2
2025-04-17,603,8703,6.93%,13.6
2025-04-18,612,9337,6.55%,13.4
2025-04-19,765,8994,8.51%,13.5
2025-04-20,668,8743,7.64%,13.6
2025-04-21,631,8583,7.35%,14
2025-04-22,604,9194,6.57%,14.1
2025-04-23,596,9661,6.17%,14
2025-04-24,594,9687,6.13%,13.7
2025-04-25,721,10407,6.93%,13.2
2025-04-26,828,11056,7.49%,13.1
2025-04-27,634,9986,6.35%,13.9
2025-04-28,652,10304,6.33%,13.7
2025-04-29,603,9993,6.03%,14
2025-04-30,571,9715,5.88%,13.7
2025-05-01,649,9810,6.62%,13.6
2025-05-02,771,10657,7.23%,13.1
2025-05-03,797,10840,7.35%,13.4
2025-05-04,746,10092,7.39%,14
2025-05-05,643,9980,6.44%,14.1
2025-05-06,575,9422,6.1%,14.4
2025-05-07,620,9518,6.51%,14.2
2025-05-08,583,9739,5.99%,14
2025-05-09,685,10328,6.63%,13.7
2025-05-10,773,10593,7.3%,13.6
2025-05-11,661,9811,6.74%,14.2
2025-05-12,636,10100,6.3%,14.2
2025-05-13,583,9344,6.24%,14.1
2025-05-14,625,9511,6.57%,13.6
2025-05-15,630,9734,6.47%,13.3
2025-05-16,735,10637,6.91%,12.8
2025-05-17,881,10823,8.14%,12.7
2025-05-18,685,10190,6.72%,13.3
2025-05-19,840,10945,7.67%,12.8
2025-05-20,729,10184,7.16%,12.6
2025-05-21,680,10181,6.68%,12.9
2025-05-22,738,10526,7.01%,13.1
2025-05-23,806,11092,7.27%,12.5
2025-05-24,943,11667,8.08%,12.5
2025-05-25,760,10737,7.08%,13.2
2025-05-26,720,10393,6.93%,13.1
2025-05-27,715,10123,7.06%,13.4
2025-05-28,796,10809,7.36%,12.9
2025-05-29,789,10663,7.4%,13.4
2025-05-30,770,10926,7.05%,13
2025-05-31,869,11424,7.61%,12.8
2025-06-01,702,10480,6.7%,13.6
2025-06-02,720,10580,6.81%,13.3
2025-06-03,649,10055,6.45%,13.4
2025-06-04,699,10418,6.71%,12.9
2025-06-05,670,11829,5.66%,13.3
2025-06-06,829,11796,7.03%,12.3
2025-06-07,913,12107,7.54%,12.3
2025-06-08,769,11078,6.94%,13.1
2025-06-09,776,10265,7.56%,13.2
2025-06-10,722,10229,7.06%,13.1
2025-06-11,630,10028,6.28%,13.4
2025-06-12,659,10089,6.53%,13.2
2025-06-13,783,10865,7.21%,13.1
2025-06-14,839,11293,7.43%,13
2025-06-15,718,10672,6.73%,13.4
2025-06-16,735,9947,7.39%,13.7
2025-06-17,649,9870,6.58%,13.1
2025-06-18,691,10538,6.56%,13.2
2025-06-19,756,10493,7.2%,13
2025-06-20,749,10945,6.84%,13.1
2025-06-21,878,11272,7.79%,12.3
2025-06-22,794,10928,7.27%,12.6
2025-06-23,735,10423,7.05%,12.8
2025-06-24,733,10553,6.95%,12.7
2025-06-25,723,10511,6.88%,12.7
2025-06-26,740,10781,6.86%,12.9
2025-06-27,829,11000,7.54%,12.5
2025-06-28,935,11437,8.18%,12.5
2025-06-29,777,10383,7.48%,12.7
2025-06-30,642,10374,6.19%,13.7
2025-07-01,707,9974,7.09%,13.4
2025-07-02,648,10663,6.08%,13.1
2025-07-03,689,9849,7%,12.7
2025-07-04,800,11472,6.97%,12.6
2025-07-05,993,11731,8.46%,12.1
2025-07-06,844,11495,7.34%,12.6
2025-07-07,721,10582,6.81%,12.5
2025-07-08,699,10344,6.76%,12.6
2025-07-09,698,10936,6.38%,12.5
2025-07-10,691,10677,6.47%,12.7
2025-07-11,700,10296,6.8%,12.4
2025-07-12,924,11302,8.18%,11.9
2025-07-13,868,10568,8.21%,12.5
2025-07-14,787,10429,7.55%,12.5
2025-07-15,799,10274,7.78%,12.3
2025-07-16,754,11665,6.46%,12.2
2025-07-17,744,11297,6.59%,12.3
2025-07-18,968,12246,7.9%,11.4
2025-07-19,976,12841,7.6%,11.6
2025-07-20,938,12324,7.61%,11.7
2025-07-21,831,11982,6.94%,12.2
2025-07-22,757,10989,6.89%,12.5
2025-07-23,770,11143,6.91%,12.8
2025-07-24,757,11285,6.71%,12.7
2025-07-25,939,12177,7.71%,11.3
2025-07-26,988,12906,7.66%,11.4
2025-07-27,862,11786,7.31%,11.6
2025-07-28,827,11383,7.27%,11.9
2025-07-29,758,11025,6.88%,11.9
2025-07-30,903,11807,7.65%,11.2
2025-07-31,906,12278,7.38%,10.9
2025-08-01,1047,13395,7.82%,10.8
2025-08-02,1112,13810,8.05%,11.4
2025-08-03,1033,13206,7.82%,11
2025-08-04,930,12346,7.53%,11.4
2025-08-05,918,12052,7.62%,11.1
2025-08-06,976,12648,7.72%,11.3
2025-08-07,892,12983,6.87%,11.7
2025-08-08,1093,13612,8.03%,10.8
2025-08-09,1156,13749,8.41%,11
2025-08-10,1072,13260,8.08%,11
2025-08-11,957,13118,7.3%,11.5
2025-08-12,1016,12606,8.06%,11.3
2025-08-13,944,12590,7.5%,11
2025-08-14,1010,12860,7.85%,11
2025-08-15,1048,13664,7.67%,10.5
2025-08-16,1213,13999,8.66%,10.7
2025-08-17,1063,12817,8.29%,10.9
2025-08-18,981,13294,7.38%,10.9
2025-08-19,984,12887,7.64%,11.1
2025-08-20,902,12006,7.51%,11.5
2025-08-21,919,12083,7.61%,11.6
2025-08-22,982,13534,7.26%,11.3
2025-08-23,1128,15267,7.39%,11.1
2025-08-24,976,12927,7.55%,11.4
2025-08-25,1006,12798,7.86%,11.4
2025-08-26,981,12386,7.92%,11.6
2025-08-27,977,13506,7.23%,11.4
2025-08-28,934,13518,6.91%,11.6
2025-08-29,984,13347,7.37%,11.5
2025-08-30,1186,14714,8.06%,11.5
2025-08-31,1010,13011,7.76%,12.2
2025-09-01,898,12991,6.91%,11.9
2025-09-02,919,12312,7.46%,11.7
2025-09-03,965,12657,7.62%,11.7
2025-09-04,928,12886,7.2%,12.4
2025-09-05,1081,13252,8.16%,11.4
2025-09-06,1122,13737,8.17%,11.3
2025-09-07,1011,12844,7.87%,11.4
2025-09-08,948,13615,6.96%,11.8
2025-09-09,857,11617,7.38%,10.8
2025-09-10,910,10876,8.37%,10.1
2025-09-11,969,11096,8.73%,9.6
2025-09-12,1081,11815,9.15%,8.3
2025-09-13,1137,11647,9.76%,8.2
2025-09-14,1061,11461,9.26%,8.5
2025-09-15,935,11012,8.49%,8.8
2025-09-16,899,11257,7.99%,8.9
2025-09-17,908,11040,8.22%,8.6
2025-09-18,897,10155,8.83%,8.6
2025-09-19,1038,11535,9%,8.6
2025-09-20,1260,12886,9.78%,8.5
2025-09-21,1027,11025,9.32%,8.7
2025-09-22,896,10339,8.67%,9
2025-09-23,913,10624,8.59%,9
2025-09-24,890,10537,8.45%,8.8
2025-09-25,894,10209,8.76%,9
2025-09-26,1052,11353,9.27%,9
2025-09-27,1130,11658,9.69%,8.9
2025-09-28,995,10777,9.23%,9
2025-09-29,825,10439,7.9%,9.7
2025-09-30,825,9082,9.08%,9.5
2025-10-01,839,8463,9.91%,8.9
2025-10-02,779,9243,8.43%,10.1
2025-10-03,1028,9981,10.3%,8.6
2025-10-04,1037,10833,9.57%,8.7
2025-10-05,929,9782,9.5%,8.7
2025-10-06,857,9637,8.89%,9
2025-10-07,904,9217,9.81%,8.8
2025-10-08,848,9016,9.41%,8.4
2025-10-09,893,9813,9.1%,9.1
2025-10-10,1053,10671,9.87%,8.2
2025-10-11,1108,10842,10.22%,8
2025-10-12,911,9191,9.91%,8.3
2025-10-13,831,9256,8.98%,8.7
2025-10-14,793,9247,8.58%,8.4
2025-10-15,790,8845,8.93%,8.8
2025-10-16,724,9666,7.49%,9.6
2025-10-17,954,9856,9.68%,8.7
2025-10-18,954,10173,9.38%,8.9
2025-10-19,870,10032,8.67%,8.8
2025-10-20,856,9824,8.71%,8.9
2025-10-21,931,10070,9.25%,8.7
2025-10-22,939,9497,9.89%,9
2025-10-23,923,10610,8.7%,9.4
2025-10-24,1121,13326,8.41%,8
2025-10-25,1198,11568,10.36%,7.9
2025-10-26,948,10054,9.43%,8.9
2025-10-27,830,9706,8.55%,9.9
2025-10-28,775,9329,8.31%,8.7
2025-10-29,818,9543,8.57%,9.2
2025-10-30,836,10015,8.35%,10
2025-10-31,965,10676,9.04%,8.6
2025-11-01,1103,11295,9.77%,8.7
2025-11-02,934,9635,9.69%,9.2
2025-11-03,837,9259,9.04%,9.4
2025-11-04,858,9764,8.79%,9
2025-11-05,783,9751,8.03%,9.1
2025-11-06,856,9783,8.75%,10.1
2025-11-07,1044,10880,9.6%,8.5
2025-11-08,1149,10929,10.51%,8.9
2025-11-09,878,9095,9.65%,9.4
2025-11-10,811,9433,8.6%,9.5
2025-11-11,847,9352,9.06%,9.7
2025-11-12,830,9909,8.38%,9.2
2025-11-13,773,10520,7.35%,10
2025-11-14,868,11225,7.73%,8.5
2025-11-15,1014,10368,9.78%,9.2
2025-11-16,934,9371,9.97%,9.1
2025-11-17,823,9424,8.73%,9.5
2025-11-18,867,9287,9.34%,9.7
2025-11-19,881,9182,9.59%,9.7
2025-11-20,719,9514,7.56%,10.5
2025-11-21,885,9555,9.26%,8.7
2025-11-22,1011,9996,10.11%,8.9
2025-11-23,836,9019,9.27%,9
2025-11-24,829,9228,8.98%,10
2025-11-25,762,8515,8.95%,9.7
2025-11-26,699,8163,8.56%,9.9
2025-11-27,821,9770,8.4%,10.3
2025-11-28,964,9818,9.82%,9.2
2025-11-29,1012,10102,10.02%,9.7
2025-11-30,820,8966,9.15%,9.4
2025-12-01,800,9833,8.14%,9.4
2025-12-02,715,9252,7.73%,9.8
2025-12-03,770,9231,8.34%,9.6
2025-12-04,703,10370,6.78%,12.6
2025-12-05,879,10140,8.67%,9.6
2025-12-06,1053,10874,9.68%,9.9
2025-12-07,845,9584,8.82%,9.6
2025-12-08,812,9405,8.63%,9.9
2025-12-09,760,9011,8.43%,10.2
2025-12-10,691,9218,7.5%,11
2025-12-11,724,9429,7.68%,12.2
2025-12-12,831,9062,9.17%,12.1
2025-12-13,785,8720,9%,11.4
2025-12-14,641,7389,8.68%,11.8
2025-12-15,559,7020,7.96%,12.4
2025-12-16,595,6722,8.85%,12.8
2025-12-17,548,6099,8.99%,11.9
2025-12-18,619,8022,7.72%,15.7
2025-12-19,627,7303,8.59%,12.5
2025-12-20,736,7565,9.73%,12.3
2025-12-21,640,6942,9.22%,11.7
2025-12-22,621,7294,8.51%,12.2
2025-12-23,680,7003,9.71%,11.8
2025-12-24,720,7682,9.37%,12.9
2025-12-25,702,7751,9.06%,13.6
2025-12-26,731,7672,9.53%,11.8
2025-12-27,881,8550,10.3%,11.8
2025-12-28,805,7947,10.13%,11.1
2025-12-29,758,7449,10.18%,11.3
2025-12-30,715,7750,9.23%,11.5
2025-12-31,838,8342,10.05%,12.1
2026-01-01,817,9153,8.93%,13
2026-01-02,686,7675,8.94%,12.4
2026-01-03,804,8149,9.87%,12
2026-01-04,650,7388,8.8%,12.7
2026-01-05,615,7122,8.64%,12.4
2026-01-06,577,6709,8.6%,12
2026-01-07,585,7226,8.1%,13.4
2026-01-08,628,7880,7.97%,14.1
2026-01-09,689,7941,8.68%,13.9
2026-01-10,738,7343,10.05%,12.1
2026-01-11,694,7523,9.23%,12.3
2026-01-12,681,7818,8.71%,11.5
2026-01-13,667,7484,8.91%,13
2026-01-14,590,7985,7.39%,14.9
2026-01-15,615,7769,7.92%,13.3
2026-01-16,712,8516,8.36%,13.2
2026-01-17,819,8473,9.67%,12.4
2026-01-18,715,8078,8.85%,13.4
2026-01-19,662,7833,8.45%,13
2026-01-20,611,7140,8.56%,13.8
2026-01-21,544,7010,7.76%,16.2
2026-01-22,487,6916,7.04%,18.5
2026-01-23,550,6822,8.06%,16
2026-01-24,602,6569,9.16%,14.7
2026-01-25,536,6303,8.5%,15.7
2026-01-26,525,7113,7.38%,18
2026-01-27,498,5792,8.6%,16.6
2026-01-28,447,6090,7.34%,18.7
2026-01-29,473,5598,8.45%,16.6
2026-01-30,542,6091,8.9%,16.3
2026-01-31,626,6165,10.15%,14.6
2026-02-01,527,5962,8.84%,15.7
2026-02-02,543,6527,8.32%,15.3
2026-02-03,485,5970,8.12%,15.3
2026-02-04,500,6785,7.37%,16.7
2026-02-05,488,6622,7.37%,16.7
2026-02-06,609,7275,8.37%,16.3
2026-02-07,602,6429,9.36%,13.4
2026-02-08,509,6371,7.99%,16.4
2026-02-09,542,6499,8.34%,15.4
2026-02-10,503,6222,8.08%,15.3
2026-02-11,495,6760,7.32%,15.4
2026-02-12,459,6864,6.69%,16.5
2026-02-13,523,6700,7.81%,14.6
2026-02-14,609,6467,9.42%,14.4
2026-02-15,538,5963,9.02%,15.9
2026-02-16,492,6694,7.35%,16.4
2026-02-17,436,6064,7.19%,16.8
2026-02-18,420,6323,6.64%,16.6
2026-02-19,429,6322,6.79%,16.6
2026-02-20,375,4858,7.72%,17.2
2026-02-21,410,5846,7.01%,17.4
2026-02-22,361,5246,6.88%,17
2026-02-23,312,5200,6%,18.2
2026-02-24,312,5061,6.16%,17.3
2026-02-25,281,4973,5.65%,18.2
2026-02-26,389,5645,6.89%,15.4
2026-02-27,458,6198,7.39%,15.9
2026-02-28,565,6736,8.39%,15
2026-03-01,422,5520,7.64%,16.3